Company,District,Grades Served,Full Address,Street Address,City,State,ZIP Code,Phone,Website,Total Students,execution_date
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,Weslaco ISD,Prekindergarten - Prekindergarten,"400 S Oklahoma Ave, Weslaco, TX 78596",400 S Oklahoma Ave,Weslaco,TX,78596,(956) 969-6620,http://www.wisd.us/,429,2025-04-07T00:05:53.663750
A B DUNCAN COLLEGIATE ELEM,Floydada Collegiate ISD,Early Education - Grade 5,"1101 S 8th St, Floydada, TX 79235",1101 S 8th St,Floydada,TX,79235,(806) 983-5332,http://www.floydadaisd.esc17.net/,327,2025-04-07T00:05:53.663750
A B MCBAY ELEM,Mexia ISD,Early Education - Grade 2,"1000 N Ross, Mexia, TX 76667",1000 N Ross,Mexia,TX,76667,(254) 562-4030,http://www.mexiaisd.net/,538,2025-04-07T00:05:53.663750
A G ELDER ELEM,Joshua ISD,Early Education - Grade 5,"513 Henderson St, Joshua, TX 76058",513 Henderson St,Joshua,TX,76058,(817) 202-2500,http://www.joshuaisd.org/,616,2025-04-07T00:05:53.663750
A M OCHOA ELEM,Donna ISD,Prekindergarten - Grade 5,"424 S 11th St, Donna, TX 78537",424 S 11th St,Donna,TX,78537,(956) 464-1900,http://www.donnaisd.net/,300,2025-04-07T00:05:53.663750
A M PATE ELEM,Fort Worth ISD,Prekindergarten - Grade 5,"3800 Anglin Dr, Fort Worth, TX 76119",3800 Anglin Dr,Fort Worth,TX,76119,(817) 815-3800,http://www.fortworthisd.org/,360,2025-04-07T00:05:53.663750
A N RICO ELEM,Weslaco ISD,Prekindergarten - Grade 5,"2202 N International Blvd, Weslaco, TX 78596",2202 N International Blvd,Weslaco,TX,78596,(956) 969-6815,http://rico.wisd.us/,695,2025-04-07T00:05:53.663750
A V CATO ELEM,Castleberry ISD,Prekindergarten - Grade 5,"4501 Barbara Rd, Fort Worth, TX 76114",4501 Barbara Rd,Fort Worth,TX,76114,(817) 252-2400,http://avc.castleberryisd.net/,578,2025-04-07T00:05:53.663750
A+ ACADEMY ELEM,A+ Academy,Prekindergarten - Grade 6,"10327 Rylie Rd, Dallas, TX 75217",10327 Rylie Rd,Dallas,TX,75217,(972) 557-5578,http://www.rylieffa.com/,857,2025-04-07T00:05:53.663750
AARON PARKER ELEM,North Lamar ISD,Prekindergarten - Grade 4,"98 CR 44112, Powderly, TX 75473",98 CR 44112,Powderly,TX,75473,(903) 732-3066,http://www.northlamar.net/,235,2025-04-07T00:05:53.663750
ABBETT ELEM,Garland ISD,Kindergarten - Grade 5,"730 W Muirfield Rd, Garland, TX 75044",730 W Muirfield Rd,Garland,TX,75044,(972) 675-3000,http://www.garlandisdschools.net/abbett,659,2025-04-07T00:05:53.663750
ABBOTT SCHOOL,Abbott ISD,Prekindergarten - Grade 12,"219 S First St, Abbott, TX 76621",219 S First St,Abbott,TX,76621,(254) 582-3011,http://www.abbottisd.org/,282,2025-04-07T00:05:53.663750
ABERNATHY ELEM,Abernathy ISD,Early Education - Grade 5,"505 7th St, Abernathy, TX 79311",505 7th St,Abernathy,TX,79311,(806) 298-4930,http://www.abernathyisd.com/,390,2025-04-07T00:05:53.663750
ACADEMY EARLY CHILDHOOD CENTER,Academy ISD,Prekindergarten - Grade 2,"311 N Bumblebee Dr, Little River, TX 76554",311 N Bumblebee Dr,Little River,TX,76554,(254) 982-4621,http://www.academyisd.net/,452,2025-04-07T00:05:53.663750
ACADEMY AT CARRIE F THOMAS,Birdville ISD,Prekindergarten - Grade 5,"8200 O'brian Way, North Richland Hills, TX 76180",8200 O'brian Way,North Richland Hills,TX,76180,(817) 547-3000,http://www.birdvilleschools.net/,557,2025-04-07T00:05:53.663750
ACADEMY AT NOLA DUNN,Burleson ISD,Kindergarten - Grade 5,"201 S Dobson St, Burleson, TX 76028",201 S Dobson St,Burleson,TX,76028,(817) 245-3300,http://academy.burlesonisd.net/,656,2025-04-07T00:05:53.663750
ACADEMY OF DALLAS,Academy of Dallas,Prekindergarten - Grade 8,"2324 S Vernon Ave, Dallas, TX 75224",2324 S Vernon Ave,Dallas,TX,75224,(214) 371-9600,http://academyofdallas.com/,245,2025-04-07T00:05:53.663750
ACCELERATED INTERDISCIPLINARY ACAD,Accelerated Intermediate Academy,Prekindergarten - Grade 6,"12825 Summit Rdg Dr, Houston, TX 77085",12825 Summit Rdg Dr,Houston,TX,77085,(713) 728-9330,http://www.aiacharterschools.org/,199,2025-04-07T00:05:53.663750
ACHZIGER ELEM,Mesquite ISD,Early Education - Grade 5,"3300 Ridgeranch Rd, Mesquite, TX 75181",3300 Ridgeranch Rd,Mesquite,TX,75181,(972) 290-4180,http://www.mesquiteisd.org/,844,2025-04-07T00:05:53.663750
ACTON ELEM,Granbury ISD,Kindergarten - Grade 5,"3200 Acton Rd, Granbury, TX 76049",3200 Acton Rd,Granbury,TX,76049,(817) 408-4200,http://www.granburyisd.org/,818,2025-04-07T00:05:53.663750
ADAM ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"11303 Honeygrove Ln, Houston, TX 77065",11303 Honeygrove Ln,Houston,TX,77065,(281) 897-4485,http://www.cfisd.net/,804,2025-04-07T00:05:53.663750
ADAMS ELEM,Cleburne ISD,Prekindergarten - Grade 5,"1492 Is Grove Rd, Cleburne, TX 76031",1492 Is Grove Rd,Cleburne,TX,76031,(817) 202-2000,http://c-isd.com/,422,2025-04-07T00:05:53.663750
ADAMS ELEM,Arlington ISD,Early Education - Grade 6,"2220 Sherry St, Arlington, TX 76010",2220 Sherry St,Arlington,TX,76010,(682) 867-2130,http://www.aisd.net/adams-elementary,754,2025-04-07T00:05:53.663750
ADAMS HILL ELEM,Northside ISD,Prekindergarten - Grade 5,"9627 Adams Hill Dr, San Antonio, TX 78245",9627 Adams Hill Dr,San Antonio,TX,78245,(210) 397-1400,http://nisd.net/,467,2025-04-07T00:05:53.663750
ADELFA BOTELLO CALLEJO ELEM,Dallas ISD,Prekindergarten - Grade 5,"7817 Military Pkwy, Dallas, TX 75227",7817 Military Pkwy,Dallas,TX,75227,(972) 749-5700,http://www.dallasisd.org/callejo,521,2025-04-07T00:05:53.663750
ADELLE TURNER ELEM,Dallas ISD,Prekindergarten - Grade 5,"5505 S Polk St, Dallas, TX 75232",5505 S Polk St,Dallas,TX,75232,(972) 794-6300,http://www.dallasisd.org/turner,297,2025-04-07T00:05:53.663750
ADRIAN SCHOOL,Adrian ISD,Prekindergarten - Grade 12,"301 Matador Dr, Adrian, TX 79001",301 Matador Dr,Adrian,TX,79001,(806) 538-6203,http://adrianisd.net/,113,2025-04-07T00:05:53.663750
ADVANCED LEARNING ACADEMY,San Antonio ISD,Prekindergarten - Grade 12,"621 W Euclid, San Antonio, TX 78212",621 W Euclid,San Antonio,TX,78212,(210) 738-9763,http://schools.saisd.net/page/026.homepage,995,2025-04-07T00:05:53.663750
ADVANTAGE ACADEMY,Advantage Academy,Prekindergarten - Grade 12,"955 Freetown Rd, Grand Prairie, TX 75051",955 Freetown Rd,Grand Prairie,TX,75051,(214) 276-5800,http://www.advantageacademy.org/,"1,138",2025-04-07T00:05:53.663750
AGNES COTTON ACADEMY,San Antonio ISD,Prekindergarten - Grade 8,"1616 Blanco Rd, San Antonio, TX 78212",1616 Blanco Rd,San Antonio,TX,78212,(210) 738-9780,http://schools.saisd.net/page/117.homepage,441,2025-04-07T00:05:53.663750
AGUA DULCE ELEM,Agua Dulce ISD,Prekindergarten - Grade 5,"1 Longhorn Dr, Agua Dulce, TX 78330",1 Longhorn Dr,Agua Dulce,TX,78330,(361) 998-2335,http://www.adisd.net/,178,2025-04-07T00:05:53.663750
AIDA C ESCOBAR ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"901 W Kelly St, Pharr, TX 78577",901 W Kelly St,Pharr,TX,78577,(956) 354-2920,http://www.psjaisd.us/,614,2025-04-07T00:05:53.663750
AIKEN ELEM,Brownsville ISD,Prekindergarten - Grade 5,"6290 Southmost Rd, Brownsville, TX 78521",6290 Southmost Rd,Brownsville,TX,78521,(956) 986-5200,http://www.bisd.us/aiken/,547,2025-04-07T00:05:53.663750
AIKIN ELEM,Richardson ISD,Prekindergarten - Grade 6,"12300 Pleasant Vly Dr, Dallas, TX 75243",12300 Pleasant Vly Dr,Dallas,TX,75243,(469) 593-1820,http://risd.org/,500,2025-04-07T00:05:53.663750
AIKIN ELEM,Paris ISD,Kindergarten - Grade 4,"3100 Pine Mill Rd, Paris, TX 75460",3100 Pine Mill Rd,Paris,TX,75460,(903) 737-7443,http://aes.parisisd.net/,924,2025-04-07T00:05:53.663750
AIKMAN ELEM,Hereford ISD,Kindergarten - Grade 5,"900 Ave K, Hereford, TX 79045",900 Ave K,Hereford,TX,79045,(806) 363-7640,http://www.herefordisd.net/,401,2025-04-07T00:05:53.663750
AIRPORT ELEM,Weslaco ISD,Prekindergarten - Grade 5,"410 N Airport Dr, Weslaco, TX 78596",410 N Airport Dr,Weslaco,TX,78596,(956) 969-6770,http://airport.wisd.us/,641,2025-04-07T00:05:53.663750
AKIN ELEM,Hale Center ISD,Prekindergarten - Grade 4,"N Ave K, Hale Center, TX 79041",N Ave K,Hale Center,TX,79041,(806) 839-2121,http://www.hcisdowls.net/,254,2025-04-07T00:05:53.663750
ALBA-GOLDEN ELEM,Alba-Golden ISD,Early Education - Grade 5,"1373 CR 2377, Alba, TX 75410",1373 CR 2377,Alba,TX,75410,(903) 768-2472,http://www.agisd.com/,428,2025-04-07T00:05:53.663750
ALBERTO AND CELIA BARRERA ELEM,Rio Grande City Grulla ISD,Prekindergarten - Grade 5,"1400 N Lopez St, Rio Grande City, TX 78582",1400 N Lopez St,Rio Grande City,TX,78582,(956) 716-6917,http://www.rgccisd.org/,438,2025-04-07T00:05:53.663750
ALCORTA ELEM,Abilene ISD,Kindergarten - Grade 5,"2650 S 32nd St, Abilene, TX 79605",2650 S 32nd St,Abilene,TX,79605,(325) 690-3602,http://www.abileneisd.org/,471,2025-04-07T00:05:53.663750
ALCOTT ELEM,Houston ISD,Prekindergarten - Grade 5,"5859 Bellfort, Houston, TX 77033",5859 Bellfort,Houston,TX,77033,(713) 732-3540,http://www.houstonisd.org/,202,2025-04-07T00:05:53.663750
ALDRIDGE ELEM,Plano ISD,Kindergarten - Grade 5,"720 Pleasant Valley Ln, Richardson, TX 75080",720 Pleasant Valley Ln,Richardson,TX,75080,(469) 752-0000,http://www.pisd.edu/,509,2025-04-07T00:05:53.663750
ALEX SANGER PREPARATORY SCHOOL,Dallas ISD,Prekindergarten - Grade 8,"8410 San Leandro Dr, Dallas, TX 75218",8410 San Leandro Dr,Dallas,TX,75218,(972) 749-7600,http://www.dallasisd.org/sanger,753,2025-04-07T00:05:53.663750
ALEXANDER ELEM,Alief ISD,Early Education - Grade 4,"8500 Brookwulf, Houston, TX 77099",8500 Brookwulf,Houston,TX,77099,(281) 983-8300,http://www.aliefisd.net/,648,2025-04-07T00:05:53.663750
ALFRED SORENSEN ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"701 E Sam Houston, San Juan, TX 78589",701 E Sam Houston,San Juan,TX,78589,(956) 354-2910,http://psjaisd.us/,570,2025-04-07T00:05:53.663750
ALICE CARLSON APPLIED LRN CTR,Fort Worth ISD,Kindergarten - Grade 5,"3320 W Cantey St, Fort Worth, TX 76109",3320 W Cantey St,Fort Worth,TX,76109,(817) 815-5700,http://www.fortworthisd.org/,363,2025-04-07T00:05:53.663750
ALICE D CONTRERAS,Fort Worth ISD,Prekindergarten - Grade 5,"4100 Lubbock Ave, Fort Worth, TX 76115",4100 Lubbock Ave,Fort Worth,TX,76115,(817) 814-7800,http://www.fortworthisd.org/,531,2025-04-07T00:05:53.663750
ALICE PONDER ELEM,Mansfield ISD,Early Education - Grade 4,"101 Pleasant Ridge Dr, Mansfield, TX 76063",101 Pleasant Ridge Dr,Mansfield,TX,76063,(817) 299-7700,http://ponder.mansfieldisd.org/,586,2025-04-07T00:05:53.663750
ALICE W DOUSE ELEM,Killeen ISD,Prekindergarten - Grade 5,"700 Rebecca Lynn Ln, Killeen, TX 76542",700 Rebecca Lynn Ln,Killeen,TX,76542,(254) 336-7480,http://www.killeenisd.org/,969,2025-04-07T00:05:53.663750
ALICIA R CHACON INTERNATIONAL,Ysleta ISD,Kindergarten - Grade 8,"920 Burgundy Dr, El Paso, TX 79907",920 Burgundy Dr,El Paso,TX,79907,(915) 434-9200,http://aliciachacon.yisd.net/,813,2025-04-07T00:05:53.663750
ALIEF MONTESSORI COMMUNITY SCHOOL,Alief Montessori Community School,Prekindergarten - Grade 8,"12013 6th St, Houston, TX 77072",12013 6th St,Houston,TX,77072,(281) 530-9406,http://amcsmontessori.org/,349,2025-04-07T00:05:53.663750
ALKEK ELEM,Bandera ISD,Early Education - Grade 5,"1798 Hwy 173 S, Bandera, TX 78003",1798 Hwy 173 S,Bandera,TX,78003,(830) 460-3900,http://banderaisd.net/,629,2025-04-07T00:05:53.663750
ALLEN & WILLIAM ARNOLD ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"615 W El Dora Rd, Pharr, TX 78577",615 W El Dora Rd,Pharr,TX,78577,(956) 354-2710,http://psjaisd.us/,567,2025-04-07T00:05:53.663750
ALLEN ELEM,Northside ISD,Early Education - Grade 5,"101 Dumont Dr, San Antonio, TX 78227",101 Dumont Dr,San Antonio,TX,78227,(210) 397-0800,http://nisd.net/,464,2025-04-07T00:05:53.663750
ALLEN ELEM,Frisco ISD,Kindergarten - Grade 5,"5800 Legacy Dr, Frisco, TX 75034",5800 Legacy Dr,Frisco,TX,75034,(469) 633-3800,http://www.friscoisd.org/,808,2025-04-07T00:05:53.663750
ALLEN ELEM,Corpus Christi ISD,Prekindergarten - Grade 5,"1414 18th St, Corpus Christi, TX 78404",1414 18th St,Corpus Christi,TX,78404,(361) 878-2140,http://allen.ccisd.us/,211,2025-04-07T00:05:53.663750
ALLIENE MULLENDORE ELEM,Birdville ISD,Early Education - Grade 5,"4100 Flory St, North Richland Hills, TX 76180",4100 Flory St,North Richland Hills,TX,76180,(817) 547-1900,http://www.birdvilleschools.net/,332,2025-04-07T00:05:53.663750
ALLISON ELEM,Austin ISD,Prekindergarten - Grade 5,"515 Vargas Rd, Austin, TX 78741",515 Vargas Rd,Austin,TX,78741,(512) 414-2004,http://www.austinisd.org/schools/allison,380,2025-04-07T00:05:53.663750
ALMEDA ELEM,Houston ISD,Early Education - Grade 5,"14249 Bridgeport Rd, Houston, TX 77047",14249 Bridgeport Rd,Houston,TX,77047,(713) 434-5620,http://www.houstonisd.org/,802,2025-04-07T00:05:53.663750
ALONSO S PERALES ELEM,Edgewood ISD,Prekindergarten - Grade 5,"1507 Ceralvo St, San Antonio, TX 78237",1507 Ceralvo St,San Antonio,TX,78237,(210) 898-4260,http://www.eisd.net/,340,2025-04-07T00:05:53.663750
ALPINE ELEM,Alpine ISD,Prekindergarten - Grade 4,"200 E Ave A, Alpine, TX 79830",200 E Ave A,Alpine,TX,79830,(432) 837-7730,http://www.alpine.esc18.net/,379,2025-04-07T00:05:53.663750
ALTA LOMA ELEM,San Angelo ISD,Early Education - Grade 5,"1700 N Garfield St, San Angelo, TX 76901",1700 N Garfield St,San Angelo,TX,76901,(325) 947-3914,http://altaloma.saisd.org/,288,2025-04-07T00:05:53.663750
ALTA VISTA ELEM,Waco ISD,Prekindergarten - Grade 5,"3637 Alta Vista Dr, Waco, TX 76706",3637 Alta Vista Dr,Waco,TX,76706,(254) 662-3050,http://altavista.wacoisd.org/cms/One.aspx,504,2025-04-07T00:05:53.663750
ALTON BOWEN ELEM,Bryan ISD,Early Education - Grade 4,"3870 Copperfield Dr, Bryan, TX 77802",3870 Copperfield Dr,Bryan,TX,77802,(979) 209-1300,http://bowen.bryanisd.org/,339,2025-04-07T00:05:53.663750
ALTON BOYD ELEM,Allen ISD,Kindergarten - Grade 6,"800 Jupiter Rd, Allen, TX 75002",800 Jupiter Rd,Allen,TX,75002,(972) 727-0560,http://www.allenisd.org/web/Boyd_Elementary/Index.htm,553,2025-04-07T00:05:53.663750
ALVARADO ELEM-NORTH,Alvarado ISD,Early Education - Grade 2,"1500 N Cummings, Alvarado, TX 76009",1500 N Cummings,Alvarado,TX,76009,(817) 783-6863,http://alvaradoisd.net/,279,2025-04-07T00:05:53.663750
ALVARADO ELEM-SOUTH,Alvarado ISD,Prekindergarten - Grade 2,"1000 E Davis, Alvarado, TX 76009",1000 E Davis,Alvarado,TX,76009,(817) 783-6880,http://alvaradoisd.net/,333,2025-04-07T00:05:53.663750
ALVAREZ ELEM,McAllen ISD,Prekindergarten - Grade 5,"2606 Gumwood Ave, McAllen, TX 78501",2606 Gumwood Ave,McAllen,TX,78501,(956) 971-4471,http://alvarez.mcallenisd.org/,415,2025-04-07T00:05:53.663750
ALVIN ELEM,Alvin ISD,Early Education - Grade 5,"2200 Westpark Dr, Alvin, TX 77511",2200 Westpark Dr,Alvin,TX,77511,(281) 585-2511,http://www.alvinisd.net/Domain/9,651,2025-04-07T00:05:53.663750
ALVIS C STORY ELEM,Allen ISD,Kindergarten - Grade 6,"1550 Edelweiss Dr, Allen, TX 75002",1550 Edelweiss Dr,Allen,TX,75002,(972) 727-0570,http://www.allenisd.org/web/Story_Elementary/Index.htm,453,2025-04-07T00:05:53.663750
ALVORD ELEM,Alvord ISD,Early Education - Grade 5,"711 W Stadium Dr, Alvord, TX 76225",711 W Stadium Dr,Alvord,TX,76225,(940) 427-2881,http://www.alvordisd.net/,374,2025-04-07T00:05:53.663750
AMANDA GARZA-PENA ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"500 E FM 495, San Juan, TX 78589",500 E FM 495,San Juan,TX,78589,(956) 354-2800,http://psjaisd.us/,528,2025-04-07T00:05:53.663750
AMANDA ROCHELL ELEM,Rockwall ISD,Prekindergarten - Grade 6,"899 Rochell Ct, Rockwall, TX 75032",899 Rochell Ct,Rockwall,TX,75032,(972) 771-2112,http://www.rockwallisd.com/Domain/14,467,2025-04-07T00:05:53.663750
AMARILLO COLLEGIATE ACADEMY,Texas College Preparatory Academies,Kindergarten - Grade 12,"6000 S Georgia, Amarillo, TX 79119",6000 S Georgia,Amarillo,TX,79119,(806) 367-5447,http://www.responsiveed.com/,461,2025-04-07T00:05:53.663750
AMBASSADORS PREPARATORY ACADEMY,Ambassadors Preparatory Academy,Prekindergarten - Grade 8,"5001 Ave U, Galveston, TX 77551",5001 Ave U,Galveston,TX,77551,(409) 762-1115,http://www.apagalv.org/,189,2025-04-07T00:05:53.663750
AMELIA ELEM,Beaumont ISD,Early Education - Grade 5,"565 S Major Dr, Beaumont, TX 77707",565 S Major Dr,Beaumont,TX,77707,(409) 617-6000,http://www.bmtisd.com/amelia,530,2025-04-07T00:05:53.663750
AMHERST SCHOOL,Amherst ISD,Prekindergarten - Grade 12,"101 N Main St, Amherst, TX 79312",101 N Main St,Amherst,TX,79312,(806) 246-3221,http://www.amherstisd.com/,126,2025-04-07T00:05:53.663750
AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,Amigos Por Vida-Friends for Life Pub Chtr Sch,Prekindergarten - Grade 8,"5503 El Camino Del Rey, Houston, TX 77081",5503 El Camino Del Rey,Houston,TX,77081,(713) 349-9945,http://www.amigosporvida.com/,560,2025-04-07T00:05:53.663750
AMOS ELEM,Arlington ISD,Prekindergarten - Grade 6,"3100 Daniel Dr, Arlington, TX 76014",3100 Daniel Dr,Arlington,TX,76014,(682) 867-4700,http://www.aisd.net/amos-elementary,346,2025-04-07T00:05:53.663750
AMPARO GUTIERREZ ELEM,United ISD,Early Education - Grade 5,"505 Calle Del Norte, Laredo, TX 78041",505 Calle Del Norte,Laredo,TX,78041,(956) 473-4400,http://www.uisd.net/,375,2025-04-07T00:05:53.663750
AMY PARKS-HEATH ELEM,Rockwall ISD,Kindergarten - Grade 6,"330 Laurence Dr, Heath, TX 75032",330 Laurence Dr,Heath,TX,75032,(972) 772-4300,http://www.rockwallisd.com/Domain/15,619,2025-04-07T00:05:53.663750
ANAHUAC ELEM,Anahuac ISD,Early Education - Grade 5,"906 Ross Sterling, Anahuac, TX 77514",906 Ross Sterling,Anahuac,TX,77514,(409) 267-2060,http://anahuacisd.net/,650,2025-04-07T00:05:53.663750
ANDERSON ELEM,Frisco ISD,Kindergarten - Grade 5,"2800 Oakland Hills Dr, Plano, TX 75025",2800 Oakland Hills Dr,Plano,TX,75025,(469) 633-2300,http://www.friscoisd.org/,735,2025-04-07T00:05:53.663750
ANDERSON ELEM,Houston ISD,Early Education - Grade 5,"5727 Ludington Dr, Houston, TX 77035",5727 Ludington Dr,Houston,TX,77035,(713) 726-3600,http://www.houstonisd.org/,630,2025-04-07T00:05:53.663750
ANDERSON ELEM,Spring ISD,Early Education - Grade 5,"6218 Lynngate Dr, Spring, TX 77373",6218 Lynngate Dr,Spring,TX,77373,(281) 891-8360,http://www.springisd.org/aes/,482,2025-04-07T00:05:53.663750
ANDERSON ELEM,Conroe ISD,Early Education - Grade 4,"1414 E Dallas, Conroe, TX 77301",1414 E Dallas,Conroe,TX,77301,(936) 709-5300,http://www.conroeisd.net/,699,2025-04-07T00:05:53.663750
ANDERSON ELEM,Arlington ISD,Early Education - Grade 6,"1101 Timberlake Dr, Arlington, TX 76010",1101 Timberlake Dr,Arlington,TX,76010,(682) 867-7750,http://www.aisd.net/anderson-elementary,408,2025-04-07T00:05:53.663750
ANDERSON MILL ELEM,Round Rock ISD,Prekindergarten - Grade 5,"10610 Salt Mill Hollow, Austin, TX 78750",10610 Salt Mill Hollow,Austin,TX,78750,(512) 428-3700,http://schools.roundrockisd.org/andersonmill/,423,2025-04-07T00:05:53.663750
ANDERSON-SHIRO ELEM,Anderson-Shiro CISD,Prekindergarten - Grade 5,"458 FM 149 W, Anderson, TX 77830",458 FM 149 W,Anderson,TX,77830,(936) 873-4525,http://www.anderson-shirocisd.net/elementary.htm,438,2025-04-07T00:05:53.663750
ANDRE ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"8111 Fry Rd, Cypress, TX 77433",8111 Fry Rd,Cypress,TX,77433,(281) 463-5500,http://www.cfisd.net/,939,2025-04-07T00:05:53.663750
ANDREWS ELEM,Plano ISD,Kindergarten - Grade 5,"2520 Scenic Dr, Plano, TX 75025",2520 Scenic Dr,Plano,TX,75025,(469) 752-3900,http://www.pisd.edu/,400,2025-04-07T00:05:53.663750
ANDREWS ELEM,Gregory-Portland ISD,Prekindergarten - Grade 5,"4015 Moore Ave, Portland, TX 78374",4015 Moore Ave,Portland,TX,78374,(361) 777-4048,http://www.g-pisd.org/,582,2025-04-07T00:05:53.663750
ANDREWS ELEM,Austin ISD,Prekindergarten - Grade 5,"6801 Northeast Dr, Austin, TX 78723",6801 Northeast Dr,Austin,TX,78723,(512) 414-1770,http://www.austinisd.org/schools/andrews,324,2025-04-07T00:05:53.663750
ANITA SCOTT ELEM,Royse City ISD,Prekindergarten - Grade 5,"1401 Erby Campbell Blvd, Royse City, TX 75189",1401 Erby Campbell Blvd,Royse City,TX,75189,(972) 636-3300,http://www.rcisd.org/,651,2025-04-07T00:05:53.663750
ANN BROCK ELEM AT OAK GROVE,Burleson ISD,Early Education - Grade 5,"12000 Oak Grove Rd, Fort Worth, TX 76028",12000 Oak Grove Rd,Fort Worth,TX,76028,(817) 245-3800,http://brock.burlesonisd.net/,636,2025-04-07T00:05:53.663750
ANN WHITNEY ELEM,Hamilton ISD,Early Education - Grade 5,"400 S College, Hamilton, TX 76531",400 S College,Hamilton,TX,76531,(254) 386-8166,http://www.hamiltonisd.org/,409,2025-04-07T00:05:53.663750
ANNA MAY DAULTON ELEM,Mansfield ISD,Kindergarten - Grade 4,"2607 N Grand Peninsula Dr, Grand Prairie, TX 75054",2607 N Grand Peninsula Dr,Grand Prairie,TX,75054,(817) 299-6640,http://daulton.mansfieldisd.org/,665,2025-04-07T00:05:53.663750
ANNE FRANK ELEM,Dallas ISD,Early Education - Grade 5,"5201 Celestial Rd, Dallas, TX 75204",5201 Celestial Rd,Dallas,TX,75204,(972) 502-5900,http://www.dallasisd.org/frank,"1,139",2025-04-07T00:05:53.663750
ANNE FRANK INSPIRE ACADEMY,Inspire Academies,Kindergarten - Grade 12,"11216 Bandera Rd, San Antonio, TX 78249",11216 Bandera Rd,San Antonio,TX,78249,(210) 638-5900,http://braination.net/,473,2025-04-07T00:05:53.663750
ANNE MCCORMICK SULLIVAN ELEM,Fort Bend ISD,Early Education - Grade 5,"17828 Winding Waters Ln, Sugar Land, TX 77479",17828 Winding Waters Ln,Sugar Land,TX,77479,(281) 327-2860,http://www.fortbendisd.com/ase,"1,120",2025-04-07T00:05:53.663750
