Company,District,Grades Served,Full Address,Street Address,City,State,ZIP Code,Phone,Website,Total Students,execution_date
ANNETTE PERRY ELEM,Mansfield ISD,Prekindergarten - Grade 4,"1261 S Main St, Mansfield, TX 76063",1261 S Main St,Mansfield,TX,76063,(817) 804-2800,http://perry.mansfieldisd.org/,447,2025-04-07T00:05:53.663750
ANNIE PURL ELEM,Georgetown ISD,Early Education - Grade 5,"1953 Maple St, Georgetown, TX 78626",1953 Maple St,Georgetown,TX,78626,(512) 943-5080,http://www.georgetownisd.org/apurl,610,2025-04-07T00:05:53.663750
ANNIE SIMS ELEM,Mount Pleasant ISD,Kindergarten - Grade 4,"1801 E 1st St, Mount Pleasant, TX 75455",1801 E 1st St,Mount Pleasant,TX,75455,(903) 575-2062,http://www.mpisd.net/sims/,478,2025-04-07T00:05:53.663750
ANNIE WEBB BLANTON ELEM,Dallas ISD,Early Education - Grade 5,"8915 Greenmound Ave, Dallas, TX 75227",8915 Greenmound Ave,Dallas,TX,75227,(972) 794-1700,http://www.dallasisd.org/blanton,597,2025-04-07T00:05:53.663750
ANSON ELEM,Anson ISD,Prekindergarten - Grade 5,"922 Ave M, Anson, TX 79501",922 Ave M,Anson,TX,79501,(325) 823-3361,http://www.ansontigers.com/,383,2025-04-07T00:05:53.663750
ANSON JONES ELEM,Bryan ISD,Early Education - Grade 4,"1400 Pecan St, Bryan, TX 77803",1400 Pecan St,Bryan,TX,77803,(979) 209-3900,http://jones.bryanisd.org/,559,2025-04-07T00:05:53.663750
ANSON JONES ELEM,Dallas ISD,Early Education - Grade 6,"3901 Meredith Ave, Dallas, TX 75211",3901 Meredith Ave,Dallas,TX,75211,(972) 794-4700,http://www.dallasisd.org/jones,508,2025-04-07T00:05:53.663750
ANTON SCHOOL,Anton ISD,Prekindergarten - Grade 12,"100 E Ellwood Blvd, Anton, TX 79313",100 E Ellwood Blvd,Anton,TX,79313,(806) 997-5211,http://antonisd.org/,182,2025-04-07T00:05:53.663750
AOY ELEM,El Paso ISD,Prekindergarten - Grade 5,"901 S Campbell St, El Paso, TX 79901",901 S Campbell St,El Paso,TX,79901,(915) 236-0175,http://aoy.episd.org/,246,2025-04-07T00:05:53.663750
APPLE SPRINGS ELEM,Apple Springs ISD,Prekindergarten - Grade 6,"9120 FM 2501, Apple Springs, TX 75926",9120 FM 2501,Apple Springs,TX,75926,(936) 831-2241,http://www.asisd.com/,121,2025-04-07T00:05:53.663750
AQUILLA SCHOOL,Aquilla ISD,Early Education - Grade 12,"404 N Richards, Aquilla, TX 76622",404 N Richards,Aquilla,TX,76622,(254) 694-3770,http://www.aquillaisd.net/,334,2025-04-07T00:05:53.663750
ARABIC IMMERSION MAGNET SCHOOL,Houston ISD,Prekindergarten - Grade 6,"4001 Stanford St, Houston, TX 77006",4001 Stanford St,Houston,TX,77006,(713) 556-8940,http://www.houstonisd.org/,473,2025-04-07T00:05:53.663750
ARAPAHO CLASSICAL MAGNET,Richardson ISD,Kindergarten - Grade 6,"1300 Cypress Dr, Richardson, TX 75080",1300 Cypress Dr,Richardson,TX,75080,(469) 593-6400,http://risd.org/,554,2025-04-07T00:05:53.663750
ARCADIA PARK ELEM,Dallas ISD,Prekindergarten - Grade 6,"1300 N Justin Ave, Dallas, TX 75211",1300 N Justin Ave,Dallas,TX,75211,(972) 502-5300,http://www.dallasisd.org/arcadiapark,606,2025-04-07T00:05:53.663750
ARCHER CITY ELEM,Archer City ISD,Prekindergarten - Grade 6,"602 S Ash St, Archer City, TX 76351",602 S Ash St,Archer City,TX,76351,(940) 574-4506,http://www.archercityisd.net/,277,2025-04-07T00:05:53.663750
ARDEN ROAD ELEM,Canyon ISD,Kindergarten - Grade 4,"6801 Learning Tree Ave, Amarillo, TX 79109",6801 Learning Tree Ave,Amarillo,TX,79109,(806) 677-2360,http://www.canyonisd.net/,453,2025-04-07T00:05:53.663750
ARGYLE WEST,Argyle ISD,Early Education - Grade 4,"1741 Old Justin Rd, Argyle, TX 76226",1741 Old Justin Rd,Argyle,TX,76226,(940) 246-4007,http://www.argyleisd.com/,903,2025-04-07T00:05:53.663750
ARISTOI CLASSICAL ACADEMY,Aristoi Classical Academy,Kindergarten - Grade 4,"5618 11th St, Katy, TX 77493",5618 11th St,Katy,TX,77493,(281) 391-5003,http://www.aristoiclassical.org/,432,2025-04-07T00:05:53.663750
ARIZONA FLEMING ELEM,Fort Bend ISD,Early Education - Grade 5,"14850 Bissonnet St, Houston, TX 77083",14850 Bissonnet St,Houston,TX,77083,(281) 634-4600,http://www.fortbendisd.com/afe,510,2025-04-07T00:05:53.663750
ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,Arlington Classics Academy,Kindergarten - Grade 2,"2800 W Arkansas Ln, Arlington, TX 76016",2800 W Arkansas Ln,Arlington,TX,76016,(817) 274-2008,http://www.acaedu.net/,514,2025-04-07T00:05:53.663750
ARLYNE & ALAN WEBER ELEM,Clear Creek ISD,Early Education - Grade 5,"11955 Blackhawk Blvd, Houston, TX 77089",11955 Blackhawk Blvd,Houston,TX,77089,(281) 284-6300,http://www.ccisd.net/,756,2025-04-07T00:05:53.663750
ARMAND BAYOU ELEM,Clear Creek ISD,Early Education - Grade 5,"16000 Hickory Knoll Dr, Houston, TX 77059",16000 Hickory Knoll Dr,Houston,TX,77059,(281) 284-5100,http://www.ccisd.net/,512,2025-04-07T00:05:53.663750
ARMSTRONG ELEM,Conroe ISD,Prekindergarten - Grade 4,"110 Gladstell St, Conroe, TX 77301",110 Gladstell St,Conroe,TX,77301,(936) 709-3400,http://www.conroeisd.net/,605,2025-04-07T00:05:53.663750
ARNOLDO CANTU SR ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"2900 N R Longoria, San Juan, TX 78589",2900 N R Longoria,San Juan,TX,78589,(956) 354-2850,http://psjaisd.us/,539,2025-04-07T00:05:53.663750
ARP ELEM,Arp ISD,Early Education - Grade 5,"16438 County Rd 294, Arp, TX 75750",16438 County Rd 294,Arp,TX,75750,(903) 859-4650,http://home.arpisd.org/,441,2025-04-07T00:05:53.663750
ARROW ACADEMY - CHAMPIONS ACADEMY,Arrow Academy,Kindergarten - Grade 6,"2700 FM 1960 Rd W, Houston, TX 77068",2700 FM 1960 Rd W,Houston,TX,77068,(832) 446-6762,http://www.arrowacademy.org/,63,2025-04-07T00:05:53.663750
ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,Arrow Academy,Kindergarten - Grade 6,"17770 Imperial Valley Dr, Houston, TX 77060",17770 Imperial Valley Dr,Houston,TX,77060,(832) 446-3138,http://www.arrowacademy.org/,173,2025-04-07T00:05:53.663750
ARROW ACADEMY - LIBERATION ACADEMY,Arrow Academy,Kindergarten - Grade 6,"11600 W Airport Blvd, Meadows Place, TX 77477",11600 W Airport Blvd,Meadows Place,TX,77477,(346) 754-5867,http://www.arrowacademy.org/,272,2025-04-07T00:05:53.663750
ARROW ACADEMY - SAVE OUR STREETS CENTER,Arrow Academy,Kindergarten - Grade 6,"1700 Groesbeck St, Bryan, TX 77803",1700 Groesbeck St,Bryan,TX,77803,(979) 703-1810,http://www.arrowacademy.org/,101,2025-04-07T00:05:53.663750
ART AND PAT GOFORTH ELEM,Clear Creek ISD,Early Education - Grade 5,"2610 Webster Rd, League City, TX 77573",2610 Webster Rd,League City,TX,77573,(281) 284-6000,http://www.ccisd.net/,797,2025-04-07T00:05:53.663750
ARTHUR KRAMER ELEM,Dallas ISD,Early Education - Grade 5,"7131 Midbury Dr, Dallas, TX 75230",7131 Midbury Dr,Dallas,TX,75230,(972) 794-8300,http://www.dallasisd.org/kramer,474,2025-04-07T00:05:53.663750
ARTURO SALAZAR ELEM,Dallas ISD,Prekindergarten - Grade 5,"1120 S Ravinia Dr, Dallas, TX 75211",1120 S Ravinia Dr,Dallas,TX,75211,(972) 502-1800,http://www.dallasisd.org/salazar,431,2025-04-07T00:05:53.663750
ASCHER SILBERSTEIN ELEM,Dallas ISD,Prekindergarten - Grade 5,"5940 Hollis Ave, Dallas, TX 75227",5940 Hollis Ave,Dallas,TX,75227,(972) 794-1900,http://www.dallasisd.org/silberstein,557,2025-04-07T00:05:53.663750
ASHFORD ELEM,Houston ISD,Early Education - Grade 5,"1815 Shannon Vly Dr, Houston, TX 77077",1815 Shannon Vly Dr,Houston,TX,77077,(281) 368-2120,http://www.houstonisd.org/,564,2025-04-07T00:05:53.663750
ASHLEY ELEM,Frisco ISD,Kindergarten - Grade 5,"15601 Christopher Ln, Frisco, TX 75035",15601 Christopher Ln,Frisco,TX,75035,(469) 633-3700,http://www.friscoisd.org/,652,2025-04-07T00:05:53.663750
ASHWORTH ELEM,Arlington ISD,Prekindergarten - Grade 6,"6700 Silo Rd, Arlington, TX 76002",6700 Silo Rd,Arlington,TX,76002,(682) 867-4800,http://www.aisd.net/ashworth-elementary,367,2025-04-07T00:05:53.663750
ASKEW ELEM,Houston ISD,Prekindergarten - Grade 5,"11200 Wood Lodge Dr, Houston, TX 77077",11200 Wood Lodge Dr,Houston,TX,77077,(281) 368-2100,http://www.houstonisd.org/,886,2025-04-07T00:05:53.663750
ATASCOCITA SPRINGS ELEM,Humble ISD,Early Education - Grade 5,"13515 Valley Lodge Pkwy, Humble, TX 77346",13515 Valley Lodge Pkwy,Humble,TX,77346,(281) 641-3600,http://www.humbleisd.net/ase,958,2025-04-07T00:05:53.663750
ATHERTON ELEM,Houston ISD,Prekindergarten - Grade 5,"2011 Solo St, Houston, TX 77020",2011 Solo St,Houston,TX,77020,(713) 671-4100,http://www.houstonisd.org/,446,2025-04-07T00:05:53.663750
ATHERTON ELEM,Arlington ISD,Prekindergarten - Grade 6,"2101 Overbrook Dr, Arlington, TX 76014",2101 Overbrook Dr,Arlington,TX,76014,(682) 867-4900,http://www.aisd.net/atherton-elementary,558,2025-04-07T00:05:53.663750
ATLANTA PRI,Atlanta ISD,Early Education - Grade 2,"505 Rabbit Blvd, Atlanta, TX 75551",505 Rabbit Blvd,Atlanta,TX,75551,(903) 796-8115,http://www.atlisd.net/,592,2025-04-07T00:05:53.663750
ATWOOD MCDONALD ELEM,Fort Worth ISD,Early Education - Grade 5,"1850 Barron Ln, Fort Worth, TX 76112",1850 Barron Ln,Fort Worth,TX,76112,(817) 496-7445,http://www.fortworthisd.org/,388,2025-04-07T00:05:53.663750
AUDELIA CREEK ELEM,Richardson ISD,Prekindergarten - Grade 6,"12600 Audelia, Dallas, TX 75243",12600 Audelia,Dallas,TX,75243,(469) 593-2900,http://risd.org/,569,2025-04-07T00:05:53.663750
AUDRE AND BERNARD RAPOPORT ACADEMY,Rapoport Academy Public School,Prekindergarten - Grade 4,"2000 J J Flewellen Rd, Waco, TX 76704",2000 J J Flewellen Rd,Waco,TX,76704,(254) 799-4191,http://www.rapoportacademy.org/,401,2025-04-07T00:05:53.663750
AUE ELEM,Northside ISD,Early Education - Grade 5,"24750 Baywater Stage, San Antonio, TX 78255",24750 Baywater Stage,San Antonio,TX,78255,(210) 397-6750,http://auees.nisd.net/,594,2025-04-07T00:05:53.663750
AUGUSTO GUERRA ELEM,Pharr-San Juan-Alamo ISD,Prekindergarten - Grade 5,"807 Fm495, Alamo, TX 78516",807 Fm495,Alamo,TX,78516,(956) 354-2810,http://psjaisd.us/,604,2025-04-07T00:05:53.663750
AULT ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"21010 Maple Village Dr, Cypress, TX 77429",21010 Maple Village Dr,Cypress,TX,77429,(281) 373-2800,http://www.cfisd.net/,961,2025-04-07T00:05:53.663750
AUSTIN ACHIEVE ELEM,Austin Achieve Public Schools,Prekindergarten - Grade 4,"7424 E Hwy 290 Bldg 1, Austin, TX 78723",7424 E Hwy 290 Bldg 1,Austin,TX,78723,(512) 522-4190,http://www.austinachieve.org/,945,2025-04-07T00:05:53.663750
AUSTIN ACHIEVE PARMER,Austin Achieve Public Schools,Prekindergarten - Grade 6,"7424 E Hwy 290 Building 1, Austin, TX 78723",7424 E Hwy 290 Building 1,Austin,TX,78723,(512) 522-4190,http://austinachieve.org/,144,2025-04-07T00:05:53.663750
AUSTIN DISCOVERY SCH,Austin Discovery School,Kindergarten - Grade 8,"9303 FM 969 Rd, Austin, TX 78724",9303 FM 969 Rd,Austin,TX,78724,(512) 674-0700,http://www.austindiscoveryschool.org/,430,2025-04-07T00:05:53.663750
AUSTIN ELEM,Harlingen CISD,Early Education - Grade 5,"700 E Austin Ave, Harlingen, TX 78550",700 E Austin Ave,Harlingen,TX,78550,(956) 427-3060,http://www.hcisd.org/austin,328,2025-04-07T00:05:53.663750
AUSTIN ELEM,Mesquite ISD,Prekindergarten - Grade 5,"3020 Poteet Dr, Mesquite, TX 75150",3020 Poteet Dr,Mesquite,TX,75150,(972) 882-7220,http://www.mesquiteisd.org/,328,2025-04-07T00:05:53.663750
AUSTIN ELEM,Coppell ISD,Early Education - Grade 5,"161 S Moore, Coppell, TX 75019",161 S Moore,Coppell,TX,75019,(214) 496-7300,http://www.coppellisd.com/,458,2025-04-07T00:05:53.663750
AUSTIN ELEM,Pampa ISD,Prekindergarten - Grade 5,"1900 Duncan, Pampa, TX 79065",1900 Duncan,Pampa,TX,79065,(806) 669-4760,http://www.pampaisd.net/,448,2025-04-07T00:05:53.663750
AUSTIN ELEM,Dayton ISD,Kindergarten - Grade 5,"701 W Houston, Dayton, TX 77535",701 W Houston,Dayton,TX,77535,(936) 258-2535,http://www.daytonisd.net/,741,2025-04-07T00:05:53.663750
AUSTIN ELEM,Conroe ISD,Early Education - Grade 4,"14796 Hwy 105 E, Conroe, TX 77306",14796 Hwy 105 E,Conroe,TX,77306,(936) 709-8400,http://www.conroeisd.net/,806,2025-04-07T00:05:53.663750
AUSTIN ELEM,Weatherford ISD,Kindergarten - Grade 5,"1776 Texas Dr, Weatherford, TX 76086",1776 Texas Dr,Weatherford,TX,76086,(817) 598-2848,http://www.weatherfordisd.com/,503,2025-04-07T00:05:53.663750
AUSTIN ELEM,Gregory-Portland ISD,Early Education - Grade 5,"308 N Gregory Ave, Gregory, TX 78359",308 N Gregory Ave,Gregory,TX,78359,(361) 777-4252,http://www.g-pisd.org/,487,2025-04-07T00:05:53.663750
AUSTIN ELEM,Abilene ISD,Kindergarten - Grade 5,"2341 Greenbriar Dr, Abilene, TX 79605",2341 Greenbriar Dr,Abilene,TX,79605,(325) 690-3920,http://www.abileneisd.org/,680,2025-04-07T00:05:53.663750
AUSTIN ELEM,San Angelo ISD,Early Education - Grade 5,"700 N Van Buren St, San Angelo, TX 76901",700 N Van Buren St,San Angelo,TX,76901,(325) 659-3636,http://austin.saisd.org/,368,2025-04-07T00:05:53.663750
AUSTIN PARKWAY ELEM,Fort Bend ISD,Kindergarten - Grade 5,"4400 Austin Pkwy, Sugar Land, TX 77479",4400 Austin Pkwy,Sugar Land,TX,77479,(281) 634-4001,http://www.fortbendisd.com/ape,620,2025-04-07T00:05:53.663750
AUSTWELL-TIVOLI ELEM,Austwell-Tivoli ISD,Prekindergarten - Grade 6,"207 Redfish St, Tivoli, TX 77990",207 Redfish St,Tivoli,TX,77990,(361) 286-3212,http://atisd.net/,72,2025-04-07T00:05:53.663750
AUTUMN CREEK ELEM,Humble ISD,Early Education - Grade 5,"14910 Woodland Dawn, Humble, TX 77338",14910 Woodland Dawn,Humble,TX,77338,(281) 641-8813,http://humbleisd.net/,586,2025-04-07T00:05:53.663750
AVALON SCHOOL,Avalon ISD,Prekindergarten - Grade 12,"104 FM 55, Avalon, TX 76623",104 FM 55,Avalon,TX,76623,(972) 627-3251,http://avalon.tx.schoolwebpages.com/,339,2025-04-07T00:05:53.663750
AVERY ELEM,Avery ISD,Prekindergarten - Grade 5,"150 San Antonio St, Avery, TX 75554",150 San Antonio St,Avery,TX,75554,(903) 684-3116,http://www.averyisd.net/,177,2025-04-07T00:05:53.663750
AVINGER SCHOOL,Avinger ISD,Prekindergarten - Grade 12,"245 Connor St, Avinger, TX 75630",245 Connor St,Avinger,TX,75630,(903) 562-1355,http://www.avingerisd.net/,137,2025-04-07T00:05:53.663750
AVONDALE ELEM,Amarillo ISD,Early Education - Grade 5,"1500 Avondale, Amarillo, TX 79106",1500 Avondale,Amarillo,TX,79106,(806) 326-4000,http://avondaleamaisd.sharpschool.com/,560,2025-04-07T00:05:53.663750
B H HAMBLEN ELEM,Channelview ISD,Kindergarten - Grade 5,"1019 Dell Dale St, Channelview, TX 77530",1019 Dell Dale St,Channelview,TX,77530,(281) 457-8720,http://www.cvisd.org/,938,2025-04-07T00:05:53.663750
B H MACON ELEM,Dallas ISD,Early Education - Grade 5,"650 Holcomb Rd, Dallas, TX 75217",650 Holcomb Rd,Dallas,TX,75217,(972) 794-1500,http://www.dallasisd.org/macon,502,2025-04-07T00:05:53.663750
BACK ELEM,Garland ISD,Prekindergarten - Grade 5,"7300 Bluebonnet Dr, Rowlett, TX 75088",7300 Bluebonnet Dr,Rowlett,TX,75088,(972) 475-1884,http://www.garlandisd.net/back,405,2025-04-07T00:05:53.663750
BAILEY INGLISH EARLY CHILDHOOD CENTER,Bonham ISD,Early Education - Prekindergarten,"201 E 10th St, Bonham, TX 75418",201 E 10th St,Bonham,TX,75418,(903) 583-8141,http://bonhamisd.org/,153,2025-04-07T00:05:53.663750
BAIRD ELEM,Baird ISD,Early Education - Grade 5,"400 W 7th St, Baird, TX 79504",400 W 7th St,Baird,TX,79504,(325) 854-1400,http://www.bairdisd.net/,151,2025-04-07T00:05:53.663750
BALDWIN ELEM,Austin ISD,Early Education - Grade 5,"12200 Meridian Park Blvd, Austin, TX 78739",12200 Meridian Park Blvd,Austin,TX,78739,(512) 841-8900,http://www.austinisd.org/schools/baldwin,592,2025-04-07T00:05:53.663750
BALL EARLY CHILDHOOD CENTER,Seguin ISD,Early Education - Prekindergarten,"812 Shannon Ave, Seguin, TX 78155",812 Shannon Ave,Seguin,TX,78155,(830) 401-1281,http://www.seguin.k12.tx.us/,324,2025-04-07T00:05:53.663750
BALLINGER ELEM,Ballinger ISD,Prekindergarten - Grade 5,"800 Broad Ave, Ballinger, TX 76821",800 Broad Ave,Ballinger,TX,76821,(325) 365-3527,http://www.ballingerisd.net/,372,2025-04-07T00:05:53.663750
BALMORHEA SCHOOL,Balmorhea ISD,Prekindergarten - Grade 12,"1st & El Paso St, Balmorhea, TX 79718",1st & El Paso St,Balmorhea,TX,79718,(432) 375-2224,http://bisdbears.esc18.net/,148,2025-04-07T00:05:53.663750
BAMMEL ELEM,Spring ISD,Early Education - Grade 5,"17309 Red Oak Dr, Houston, TX 77090",17309 Red Oak Dr,Houston,TX,77090,(281) 891-8150,http://www.springisd.org/baes/,747,2025-04-07T00:05:53.663750
BANE ELEM,Cypress-Fairbanks ISD,Prekindergarten - Grade 5,"5805 Kaiser St, Houston, TX 77040",5805 Kaiser St,Houston,TX,77040,(713) 460-6140,http://www.cfisd.net/,755,2025-04-07T00:05:53.663750
BANG ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"8900 Rio Grande, Houston, TX 77064",8900 Rio Grande,Houston,TX,77064,(281) 897-4760,http://www.cfisd.net/,904,2025-04-07T00:05:53.663750
BARANOFF ELEM,Austin ISD,Kindergarten - Grade 5,"12009 Buckingham Gate Rd, Austin, TX 78748",12009 Buckingham Gate Rd,Austin,TX,78748,(512) 841-7100,http://www.austinisd.org/schools/baranoff,783,2025-04-07T00:05:53.663750
BARBARA BUSH PRI,Sulphur Springs ISD,Kindergarten - Grade 3,"390 N Hillcrest, Sulphur Springs, TX 75482",390 N Hillcrest,Sulphur Springs,TX,75482,(903) 439-6170,http://www.ssisd.net/,336,2025-04-07T00:05:53.663750
BARBARA COCKRELL ELEM,Pearland ISD,Early Education - Grade 4,"3500 Mchard Rd, Pearland, TX 77581",3500 Mchard Rd,Pearland,TX,77581,(832) 736-6600,http://www.pearlandisd.org/cockrell,734,2025-04-07T00:05:53.663750
BARBARA FASKEN ELEM,Midland ISD,Prekindergarten - Grade 6,"5806 Val Verde, Midland, TX 79707",5806 Val Verde,Midland,TX,79707,(432) 240-8400,http://www.midlandisd.net/Domain/4551,885,2025-04-07T00:05:53.663750
BARBARA FASKEN ELEM,United ISD,Early Education - Grade 5,"11111 Atlanta Dr, Laredo, TX 78045",11111 Atlanta Dr,Laredo,TX,78045,(956) 473-4700,http://www.uisd.net/,705,2025-04-07T00:05:53.663750
BARBARA JORDAN ELEM,Dallas ISD,Prekindergarten - Grade 5,"1111 W Kiest Blvd, Dallas, TX 75224",1111 W Kiest Blvd,Dallas,TX,75224,(972) 925-8100,http://www.dallasisd.org/jordan,445,2025-04-07T00:05:53.663750
BARBARA JORDAN ELEM,Fort Bend ISD,Early Education - Grade 5,"17800 W Oaks Village Dr, Richmond, TX 77407",17800 W Oaks Village Dr,Richmond,TX,77407,(281) 634-2800,http://www.fortbendisd.com/bje,498,2025-04-07T00:05:53.663750
BARBARA YARBROUGH ELEM,Midland ISD,Early Education - Grade 6,"6000 Riverfront Dr, Midland, TX 79706",6000 Riverfront Dr,Midland,TX,79706,(432) 240-8500,http://www.midlandisd.net/Domain/4550,832,2025-04-07T00:05:53.663750
BARKSDALE ELEM,Plano ISD,Kindergarten - Grade 5,"2424 Midway, Plano, TX 75093",2424 Midway,Plano,TX,75093,(469) 752-0100,http://www.pisd.edu/,542,2025-04-07T00:05:53.663750
BARNES ELEM,Corpus Christi ISD,Early Education - Grade 5,"2829 Oso Pkwy, Corpus Christi, TX 78414",2829 Oso Pkwy,Corpus Christi,TX,78414,(361) 994-5051,http://barnes.ccisd.us/,623,2025-04-07T00:05:53.663750
BARRICK ELEM,Houston ISD,Prekindergarten - Grade 5,"12001 Winfrey Ln, Houston, TX 77076",12001 Winfrey Ln,Houston,TX,77076,(281) 405-2500,http://www.houstonisd.org/,541,2025-04-07T00:05:53.663750
BARRINGTON ELEM,Austin ISD,Prekindergarten - Grade 5,"400 Cooper Dr, Austin, TX 78753",400 Cooper Dr,Austin,TX,78753,(512) 414-2008,http://www.austinisd.org/schools/barrington,378,2025-04-07T00:05:53.663750
BARRINGTON PLACE ELEM,Fort Bend ISD,Early Education - Grade 5,"2100 Squire Dobbins Dr, Sugar Land, TX 77478",2100 Squire Dobbins Dr,Sugar Land,TX,77478,(281) 634-4040,http://www.fortbendisd.com/bpe,482,2025-04-07T00:05:53.663750
BARRON ELEM,Plano ISD,Prekindergarten - Grade 5,"3300 Ave P, Plano, TX 75074",3300 Ave P,Plano,TX,75074,(469) 752-0200,http://www.pisd.edu/,348,2025-04-07T00:05:53.663750
BARRON ELEM,El Paso ISD,Prekindergarten - Grade 5,"11155 Whitey Ford St, El Paso, TX 79934",11155 Whitey Ford St,El Paso,TX,79934,(915) 236-5075,http://barron.episd.org/,371,2025-04-07T00:05:53.663750
BARTON CREEK ELEM,Eanes ISD,Kindergarten - Grade 5,"1314 Patterson Rd, Austin, TX 78733",1314 Patterson Rd,Austin,TX,78733,(512) 732-9180,http://bce.eanesisd.net/,504,2025-04-07T00:05:53.663750
BARTON ELEM,Irving ISD,Prekindergarten - Grade 5,"2931 Conflans Rd, Irving, TX 75061",2931 Conflans Rd,Irving,TX,75061,(972) 600-4100,http://www.irvingisd.net/,859,2025-04-07T00:05:53.663750
BARTON HILLS ELEM,Austin ISD,Kindergarten - Grade 6,"2108 Barton Hills Dr, Austin, TX 78704",2108 Barton Hills Dr,Austin,TX,78704,(512) 414-2013,http://www.austinisd.org/schools/bartonhills,378,2025-04-07T00:05:53.663750
BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,Basis Texas,Kindergarten - Grade 4,"11550 I-35 Frontage Rd, San Antonio, TX 78233",11550 I-35 Frontage Rd,San Antonio,TX,78233,(210) 742-6310,http://basised.com/,361,2025-04-07T00:05:53.663750
BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,Basis Texas,Kindergarten - Grade 5,"8519 Floyd Curl Dr, San Antonio, TX 78240",8519 Floyd Curl Dr,San Antonio,TX,78240,(210) 319-5525,http://basisedtx.com/,766,2025-04-07T00:05:53.663750
BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,Basis Texas,Kindergarten - Grade 5,"318 E Ramsey Rd, San Antonio, TX 78216",318 E Ramsey Rd,San Antonio,TX,78216,(210) 775-4125,http://www.basissanantonionc.org/,701,2025-04-07T00:05:53.663750
BASSETTI ELEM,Abilene ISD,Kindergarten - Grade 5,"5749 Hwy 277 S, Abilene, TX 79606",5749 Hwy 277 S,Abilene,TX,79606,(325) 690-3720,http://www.abileneisd.org/,511,2025-04-07T00:05:53.663750
BASSWOOD ELEM,Keller ISD,Prekindergarten - Grade 5,"3100 Clay Mountain Trail, Fort Worth, TX 76137",3100 Clay Mountain Trail,Fort Worth,TX,76137,(817) 744-6500,http://www.kellerisd.net/,492,2025-04-07T00:05:53.663750
BASTIAN ELEM,Houston ISD,Prekindergarten - Grade 5,"5051 Bellfort, Houston, TX 77033",5051 Bellfort,Houston,TX,77033,(713) 732-5830,http://www.houstonisd.org/,664,2025-04-07T00:05:53.663750
