Company,District,Grades Served,Full Address,Street Address,City,State,ZIP Code,Phone,Website,Total Students,execution_date
BATESVILLE SCHOOL,Uvalde CISD,Early Education - Grade 6,"496 Garden St, Batesville, TX 78829",496 Garden St,Batesville,TX,78829,(830) 376-4221,http://batesville.uvaldecisd.net/,84,2025-04-07T00:05:53.663750
BATY ELEM,Del Valle ISD,Early Education - Grade 5,"2101 Faro Dr, Austin, TX 78741",2101 Faro Dr,Austin,TX,78741,(512) 386-3450,http://sites.dvisd.net/bes/,512,2025-04-07T00:05:53.663750
BAY COLONY ELEM,Dickinson ISD,Early Education - Grade 4,"101 Bay Colony Elementary Dr, Dickinson, TX 77539",101 Bay Colony Elementary Dr,Dickinson,TX,77539,(281) 229-6200,http://www.dickinsonisd.org/,662,2025-04-07T00:05:53.663750
BAY ELEM,Clear Creek ISD,Early Education - Grade 5,"1502 Bayport Blvd, Seabrook, TX 77568",1502 Bayport Blvd,Seabrook,TX,77568,(281) 284-4600,http://www.ccisd.net/,623,2025-04-07T00:05:53.663750
BAYLES ELEM,Dallas ISD,Prekindergarten - Grade 5,"2444 Telegraph Ave, Dallas, TX 75228",2444 Telegraph Ave,Dallas,TX,75228,(972) 749-8900,http://www.dallasisd.org/bayles,391,2025-04-07T00:05:53.663750
BEAR BRANCH ELEM,Humble ISD,Kindergarten - Grade 5,"3500 Garden Lk, Kingwood, TX 77339",3500 Garden Lk,Kingwood,TX,77339,(281) 641-1600,http://www.humbleisd.net/bbe,638,2025-04-07T00:05:53.663750
BEAR BRANCH ELEM,Magnolia ISD,Early Education - Grade 4,"8909 FM 1488, Magnolia, TX 77354",8909 FM 1488,Magnolia,TX,77354,(281) 356-4771,http://bbes.magnoliaisd.org/,566,2025-04-07T00:05:53.663750
BEAR CREEK ELEM,Katy ISD,Early Education - Grade 5,"4815 Hickory Downs Dr, Houston, TX 77084",4815 Hickory Downs Dr,Houston,TX,77084,(281) 237-5606,http://www.katyisd.org/,664,2025-04-07T00:05:53.663750
BEAR CREEK ELEM,Austin ISD,Prekindergarten - Grade 5,"12801 Escarpment Blvd, Austin, TX 78739",12801 Escarpment Blvd,Austin,TX,78739,(512) 414-0040,http://www.austinisd.org/schools/bearcreek,540,2025-04-07T00:05:53.663750
BEASLEY ELEM,Mesquite ISD,Early Education - Grade 5,"919 Green Canyon Dr, Mesquite, TX 75150",919 Green Canyon Dr,Mesquite,TX,75150,(972) 882-5160,http://www.mesquiteisd.org/,394,2025-04-07T00:05:53.663750
BEASLEY ELEM,Lamar CISD,Early Education - Grade 5,"7511 Ave J, Beasley, TX 77417",7511 Ave J,Beasley,TX,77417,(832) 223-1100,http://www.lcisd.org/campuses/beasley/home,414,2025-04-07T00:05:53.663750
BEATY EARLY CHILDHOOD SCHOOL,Plano ISD,Early Education - Prekindergarten,"1717 Nevada Dr, Plano, TX 75093",1717 Nevada Dr,Plano,TX,75093,(469) 752-4200,http://www.pisd.edu/,277,2025-04-07T00:05:53.663750
BEAVER TECHNOLOGY CENTER,Garland ISD,Kindergarten - Grade 5,"3232 March Ln, Garland, TX 75042",3232 March Ln,Garland,TX,75042,(972) 494-8301,http://www.garlandisd.net/beaver,539,2025-04-07T00:05:53.663750
BECKER ELEM,Austin ISD,Prekindergarten - Grade 5,"906 W Milton, Austin, TX 78704",906 W Milton,Austin,TX,78704,(512) 414-2019,http://www.austinisd.org/schools/becker,441,2025-04-07T00:05:53.663750
BECKVILLE SUNSET ELEM,Beckville ISD,Early Education - Grade 5,"4378 Sh 149, Beckville, TX 75631",4378 Sh 149,Beckville,TX,75631,(903) 678-3601,http://www.beckvilleisd.net/,335,2025-04-07T00:05:53.663750
BEL AIR ELEM,Athens ISD,Prekindergarten - Grade 5,"215 Willowbrook Dr, Athens, TX 75751",215 Willowbrook Dr,Athens,TX,75751,(903) 677-6980,http://www.athensisd.net/,446,2025-04-07T00:05:53.663750
BEL NAFEGAR SANCHEZ ELEM,Alvin ISD,Early Education - Grade 5,"1721 Sterling Lakes W Dr, Rosharon, TX 77583",1721 Sterling Lakes W Dr,Rosharon,TX,77583,(281) 388-1130,http://www.alvinisd.net/Domain/6753,717,2025-04-07T00:05:53.663750
BELAIRE ELEM,San Angelo ISD,Prekindergarten - Grade 5,"700 Stephens St, San Angelo, TX 76905",700 Stephens St,San Angelo,TX,76905,(325) 659-3639,http://belaire.saisd.org/,318,2025-04-07T00:05:53.663750
BELL ELEM,Houston ISD,Early Education - Grade 5,"12323 Shaftsbury Dr, Houston, TX 77031",12323 Shaftsbury Dr,Houston,TX,77031,(281) 983-2800,http://www.houstonisd.org/,579,2025-04-07T00:05:53.663750
BELL'S HILL ELEM,Waco ISD,Prekindergarten - Grade 5,"2100 Ross, Waco, TX 76706",2100 Ross,Waco,TX,76706,(254) 754-4171,http://bellshill.wacoisd.org/cms/One.aspx,757,2025-04-07T00:05:53.663750
BELLEVUE SCHOOL,Bellevue ISD,Prekindergarten - Grade 12,"500 Seventh St, Bellevue, TX 76228",500 Seventh St,Bellevue,TX,76228,(940) 928-2104,http://www.bellevueisd.org/,151,2025-04-07T00:05:53.663750
BELLFORT EARLY CHILDHOOD CENTER,Houston ISD,Early Education - Kindergarten,"7647 Bellfort, Houston, TX 77061",7647 Bellfort,Houston,TX,77061,(713) 640-0950,http://www.houstonisd.org/,366,2025-04-07T00:05:53.663750
BELMAR ELEM,Amarillo ISD,Early Education - Grade 5,"6324 Adirondack, Amarillo, TX 79106",6324 Adirondack,Amarillo,TX,79106,(806) 326-4050,http://belmaramaisd.sharpschool.com/,363,2025-04-07T00:05:53.663750
BELTON EARLY CHILDHOOD SCHOOL,Belton ISD,Early Education - Prekindergarten,"501 E 4th, Belton, TX 76513",501 E 4th,Belton,TX,76513,(254) 215-3700,http://www.bisd.net/,419,2025-04-07T00:05:53.663750
BEN BOLT-PALITO BLANCO ELEM,Ben Bolt-Palito Blanco ISD,Prekindergarten - Grade 6,"401 Whitney Dr, Alice, TX 78332",401 Whitney Dr,Alice,TX,78332,(361) 664-9568,http://www.bbpbschools.net/,260,2025-04-07T00:05:53.663750
BEN MILAM ELEM,Harlingen CISD,Early Education - Grade 5,"1215 Rangerville Rd, Harlingen, TX 78550",1215 Rangerville Rd,Harlingen,TX,78550,(956) 427-3150,http://www.hcisd.org/milam,409,2025-04-07T00:05:53.663750
BEN MILAM ELEM,Dallas ISD,Prekindergarten - Grade 5,"4200 McKinney Ave, Dallas, TX 75205",4200 McKinney Ave,Dallas,TX,75205,(972) 749-5600,http://www.dallasisd.org/milam,274,2025-04-07T00:05:53.663750
BEN MILAM ELEM,Cameron ISD,Prekindergarten - Grade 2,"1100 E 21st St, Cameron, TX 76520",1100 E 21st St,Cameron,TX,76520,(254) 697-3641,http://www.cameronisd.net/,412,2025-04-07T00:05:53.663750
BENAVIDES ELEM,Brownsville ISD,Early Education - Grade 5,"3101 Mcallen Rd, Brownsville, TX 78520",3101 Mcallen Rd,Brownsville,TX,78520,(956) 350-3250,http://www.bisd.us/benavides/,828,2025-04-07T00:05:53.663750
BENAVIDES ELEM,Benavides ISD,Early Education - Grade 6,"106 W School St, Benavides, TX 78341",106 W School St,Benavides,TX,78341,(361) 256-3030,http://www.benavidesisd.net/,117,2025-04-07T00:05:53.663750
BENAVIDEZ ELEM,Houston ISD,Early Education - Grade 5,"6262 Gulfton St, Houston, TX 77081",6262 Gulfton St,Houston,TX,77081,(713) 778-3350,http://www.houstonisd.org/,920,2025-04-07T00:05:53.663750
BENBROOK ELEM,Houston ISD,Prekindergarten - Grade 5,"4026 Bolin Rd, Houston, TX 77092",4026 Bolin Rd,Houston,TX,77092,(713) 613-2502,http://www.houstonisd.org/,461,2025-04-07T00:05:53.663750
BENBROOK ELEM,Fort Worth ISD,Prekindergarten - Grade 5,"800 Mercedes St, Fort Worth, TX 76126",800 Mercedes St,Fort Worth,TX,76126,(817) 815-6400,http://www.fortworthisd.org/,465,2025-04-07T00:05:53.663750
BENDWOOD SCHOOL,Spring Branch ISD,Early Education - Early Education,"12750 Kimberley, Houston, TX 77024",12750 Kimberley,Houston,TX,77024,(713) 251-5200,http://bwe.springbranchisd.com/,33,2025-04-07T00:05:53.663750
BENEKE ELEM,Spring ISD,Early Education - Grade 5,"3840 Briarchase Dr, Houston, TX 77014",3840 Briarchase Dr,Houston,TX,77014,(281) 891-8450,http://www.springisd.org/bees/,638,2025-04-07T00:05:53.663750
BENFER ELEM,Klein ISD,Early Education - Grade 5,"18027b Kuykendahl Rd, Klein, TX 77379",18027b Kuykendahl Rd,Klein,TX,77379,(832) 484-6000,http://www.kleinisd.net/,796,2025-04-07T00:05:53.663750
BENIGNUS ELEM,Klein ISD,Early Education - Grade 5,"7225 Alvin A Klein Dr, Klein, TX 77379",7225 Alvin A Klein Dr,Klein,TX,77379,(832) 484-7750,http://www.kleinisd.net/,605,2025-04-07T00:05:53.663750
BENITO MARTINEZ ELEM,Socorro ISD,Prekindergarten - Grade 5,"2640 Robert Wynn, El Paso, TX 79936",2640 Robert Wynn,El Paso,TX,79936,(915) 937-8000,http://www.sisd.net/,572,2025-04-07T00:05:53.663750
BENITO MARTINEZ ELEM,Ft Hancock ISD,Prekindergarten - Grade 5,"100 School Dr, Ft Hancock, TX 79839",100 School Dr,Ft Hancock,TX,79839,(915) 769-3913,http://www.forthancockisd.net/,184,2025-04-07T00:05:53.663750
BENJAMIN SCHOOL,Benjamin ISD,Prekindergarten - Grade 12,"300 Hays St, Benjamin, TX 79505",300 Hays St,Benjamin,TX,79505,(940) 459-2231,http://www.benjaminisd.net/,133,2025-04-07T00:05:53.663750
BENS BRANCH ELEM,New Caney ISD,Early Education - Grade 5,"24160 Briar Berry Ln, Porter, TX 77365",24160 Briar Berry Ln,Porter,TX,77365,(281) 577-8700,http://www.newcaneyisd.org/,660,2025-04-07T00:05:53.663750
BENTLEY ELEM,Lamar CISD,Early Education - Grade 5,"9910 FM 359, Richmond, TX 77406",9910 FM 359,Richmond,TX,77406,(832) 223-4900,http://lcisd.org/,938,2025-04-07T00:05:53.663750
BERKSHIRE ELEM,Northwest ISD,Early Education - Grade 5,"10301 Berkshire Lake Blvd, Fort Worth, TX 76131",10301 Berkshire Lake Blvd,Fort Worth,TX,76131,(817) 215-0000,http://berkshire.nisdtx.org/,601,2025-04-07T00:05:53.663750
BERRY ELEM,Houston ISD,Prekindergarten - Grade 5,"2310 Berry Rd, Houston, TX 77093",2310 Berry Rd,Houston,TX,77093,(713) 696-2700,http://www.houstonisd.org/,757,2025-04-07T00:05:53.663750
BERTRAM ELEM,Burnet CISD,Prekindergarten - Grade 5,"315 Main, Bertram, TX 78605",315 Main,Bertram,TX,78605,(512) 355-2111,http://www.burnetcisd.net/,442,2025-04-07T00:05:53.663750
BESS CAMPBELL ELEM,Lamar CISD,Early Education - Grade 5,"1000 Shadow Bend Dr, Sugar Land, TX 77479",1000 Shadow Bend Dr,Sugar Land,TX,77479,(832) 223-1300,http://www.lcisd.org/,497,2025-04-07T00:05:53.663750
BESS RACE ELEM,Crowley ISD,Prekindergarten - Grade 5,"537 S Hts Dr, Crowley, TX 76036",537 S Hts Dr,Crowley,TX,76036,(817) 297-5080,http://www.crowley.k12.tx.us/,662,2025-04-07T00:05:53.663750
BEST ELEM,Alief ISD,Prekindergarten - Grade 4,"10000 Centre Pkwy, Houston, TX 77036",10000 Centre Pkwy,Houston,TX,77036,(713) 988-6445,http://www.aliefisd.net/,765,2025-04-07T00:05:53.663750
BETA ACADEMY,Beta Academy,Prekindergarten - Grade 2,"9701 Almeda Genoa Rd, Houston, TX 77075",9701 Almeda Genoa Rd,Houston,TX,77075,(832) 331-2460,http://betaacademy.org/,584,2025-04-07T00:05:53.663750
BETHANY ELEM,Plano ISD,Kindergarten - Grade 5,"2418 Micarta Dr, Plano, TX 75025",2418 Micarta Dr,Plano,TX,75025,(469) 752-0300,http://www.pisd.edu/,257,2025-04-07T00:05:53.663750
BETHKE ELEM,Katy ISD,Early Education - Grade 5,"4535 E Ventana Pkwy, Katy, TX 77493",4535 E Ventana Pkwy,Katy,TX,77493,(281) 234-4200,http://www.katyisd.org/,"1,152",2025-04-07T00:05:53.663750
BETTE PEROT ELEM,Keller ISD,Kindergarten - Grade 4,"9345 General Worth Dr, Keller, TX 76244",9345 General Worth Dr,Keller,TX,76244,(817) 744-4600,http://www.kellerisd.net/,559,2025-04-07T00:05:53.663750
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,Betty M Condra School for Education Innovation,Kindergarten - Grade 5,"1421 9th St, Lubbock, TX 79401",1421 9th St,Lubbock,TX,79401,(806) 407-0878,http://www.condraschool.com/,185,2025-04-07T00:05:53.663750
BEVERLY CHEATHAM ELEM,Allen ISD,Early Education - Grade 6,"1501 Hopewell Dr, Allen, TX 75013",1501 Hopewell Dr,Allen,TX,75013,(972) 396-3016,http://www.allenisd.org/cheathames/site/default,747,2025-04-07T00:05:53.663750
BEVERLY ELEM,Plano ISD,Kindergarten - Grade 5,"715 Duchess Dr, Allen, TX 75013",715 Duchess Dr,Allen,TX,75013,(469) 752-0400,http://www.pisd.edu/,360,2025-04-07T00:05:53.663750
BEXAR COUNTY ACADEMY,Bexar County Academy,Prekindergarten - Grade 8,"1481 Hillcrest Dr, San Antonio, TX 78228",1481 Hillcrest Dr,San Antonio,TX,78228,(210) 432-8600,http://bexarcountyacademy.org/,261,2025-04-07T00:05:53.663750
BIG BEND HS,Terlingua CSD,Prekindergarten - Grade 12,"550 Roadrunner Cir, Terlingua, TX 79852",550 Roadrunner Cir,Terlingua,TX,79852,(432) 371-2281,http://www.terlinguacsd.com/,111,2025-04-07T00:05:53.663750
BIG SANDY ELEM,Big Sandy ISD,Early Education - Grade 5,"401 Wildcat Dr, Big Sandy, TX 75755",401 Wildcat Dr,Big Sandy,TX,75755,(903) 636-5287,http://www.bigsandyisd.org/,313,2025-04-07T00:05:53.663750
BIG SANDY SCHOOL,Big Sandy ISD,Prekindergarten - Grade 12,"9180 FM 1276, Dallardsville, TX 77332",9180 FM 1276,Dallardsville,TX,77332,(936) 563-1000,http://www.bigsandyisd.net/,529,2025-04-07T00:05:53.663750
BIG SPRINGS CHARTER SCHOOL,Big Springs Charter School,Kindergarten - Grade 12,"10664 N US Hwy 83, Leakey, TX 78873",10664 N US Hwy 83,Leakey,TX,78873,(830) 232-7101,http://www.bscsk12.com/,117,2025-04-07T00:05:53.663750
BIG SPRINGS ELEM,Richardson ISD,Early Education - Grade 6,"3301 W Campbell Rd, Garland, TX 75044",3301 W Campbell Rd,Garland,TX,75044,(469) 593-8100,http://risd.org/,365,2025-04-07T00:05:53.663750
BILL CHILDRESS ELEM,Canutillo ISD,Prekindergarten - Grade 5,"7700 Cap Carter Rd, Vinton, TX 79821",7700 Cap Carter Rd,Vinton,TX,79821,(915) 877-7700,http://www.canutillo-isd.org/,410,2025-04-07T00:05:53.663750
BILL HASSE ELEM,Alvin ISD,Early Education - Grade 5,"1200 E House St, Alvin, TX 77511",1200 E House St,Alvin,TX,77511,(281) 585-3397,http://www.alvinisd.net/Domain/15,632,2025-04-07T00:05:53.663750
BILL J ELLIOTT ELEM,Fort Worth ISD,Early Education - Grade 5,"2501 Cooks Ln, Fort Worth, TX 76120",2501 Cooks Ln,Fort Worth,TX,76120,(817) 815-4600,http://www.fortworthisd.org/,378,2025-04-07T00:05:53.663750
BILL SYBERT SCHOOL,Socorro ISD,Prekindergarten - Grade 8,"11530 Edgemere Blvd, El Paso, TX 79936",11530 Edgemere Blvd,El Paso,TX,79936,(915) 937-4400,http://www.sisd.net/,777,2025-04-07T00:05:53.663750
BILLIE STEVENSON ELEM,Rockwall ISD,Early Education - Grade 6,"636 Stevenson Dr, Fate, TX 75087",636 Stevenson Dr,Fate,TX,75087,(469) 698-7474,http://www.rockwallisd.com/Domain/16,703,2025-04-07T00:05:53.663750
BINGMAN PK,Beaumont ISD,Early Education - Prekindergarten,"5265 S Kenneth St, Beaumont, TX 77705",5265 S Kenneth St,Beaumont,TX,77705,(409) 617-6200,http://www.bmtisd.com/Bingman,452,2025-04-07T00:05:53.663750
BIRD EDUCATION CENTER,Plano ISD,Kindergarten - Grade 6,"1300 19th St, Plano, TX 75074",1300 19th St,Plano,TX,75074,(469) 752-8100,http://www.pisd.edu/,"1,046",2025-04-07T00:05:53.663750
BIRDIE ALEXANDER ELEM,Dallas ISD,Early Education - Grade 5,"1830 Goldwood Dr, Dallas, TX 75232",1830 Goldwood Dr,Dallas,TX,75232,(972) 749-3100,http://www.dallasisd.org/alexander,289,2025-04-07T00:05:53.663750
BIRDVILLE ELEM,Birdville ISD,Early Education - Grade 5,"3111 Carson St, Haltom City, TX 76117",3111 Carson St,Haltom City,TX,76117,(817) 547-1500,http://www.birdvilleschools.net/,419,2025-04-07T00:05:53.663750
BIRKES ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"8500 Queenston Blvd, Houston, TX 77095",8500 Queenston Blvd,Houston,TX,77095,(281) 345-3300,http://www.cfisd.net/,"1,022",2025-04-07T00:05:53.663750
BIRNHAM WOODS ELEM,Conroe ISD,Early Education - Grade 4,"31150 Birnham Woods Dr, Spring, TX 77386",31150 Birnham Woods Dr,Spring,TX,77386,(832) 663-4200,http://www.conroeisd.net/,967,2025-04-07T00:05:53.663750
BISHOP ARTS STEAM ACADEMY,Dallas ISD,Early Education - Grade 5,"201 N Adams Ave, Dallas, TX 75208",201 N Adams Ave,Dallas,TX,75208,(972) 502-8200,http://www.dallasisd.org/reagan,275,2025-04-07T00:05:53.663750
BISHOP PRI,Bishop CISD,Early Education - Grade 2,"705 W Main St, Bishop, TX 78343",705 W Main St,Bishop,TX,78343,(361) 584-2434,http://www.bishopcisd.net/,230,2025-04-07T00:05:53.663750
BIVINS ELEM,Amarillo ISD,Prekindergarten - Grade 5,"1500 S Fannin, Amarillo, TX 79102",1500 S Fannin,Amarillo,TX,79102,(806) 326-4100,http://bivinsamaisd.sharpschool.com/,464,2025-04-07T00:05:53.663750
BLACK ELEM,Mesquite ISD,Early Education - Grade 5,"328 E Newsom St, Mesquite, TX 75149",328 E Newsom St,Mesquite,TX,75149,(972) 882-7240,http://www.mesquiteisd.org/,643,2025-04-07T00:05:53.663750
BLACK ELEM,Cypress-Fairbanks ISD,Early Education - Grade 5,"14155 Grant Rd, Cypress, TX 77429",14155 Grant Rd,Cypress,TX,77429,(281) 320-7145,http://www.cfisd.net/,"1,129",2025-04-07T00:05:53.663750
BLACKLAND PRAIRIE ELEM,Round Rock ISD,Early Education - Grade 5,"2105 Via Sonoma Trl, Round Rock, TX 78664",2105 Via Sonoma Trl,Round Rock,TX,78664,(512) 424-8600,http://schools.roundrockisd.org/bkldprairie/,637,2025-04-07T00:05:53.663750
BLACKSHEAR ELEM,Houston ISD,Early Education - Grade 5,"2900 Holman Ave, Houston, TX 77004",2900 Holman Ave,Houston,TX,77004,(713) 942-1481,http://www.houstonisd.org/,289,2025-04-07T00:05:53.663750
BLACKSHEAR ELEM,Austin ISD,Prekindergarten - Grade 5,"1712 E 11th St, Austin, TX 78702",1712 E 11th St,Austin,TX,78702,(512) 414-2021,http://www.austinisd.org/schools/blackshear,287,2025-04-07T00:05:53.663750
BLAIR ELEM,Carrollton-Farmers Branch ISD,Prekindergarten - Grade 5,"14055 Heartside Dr, Farmers Branch, TX 75234",14055 Heartside Dr,Farmers Branch,TX,75234,(972) 968-1000,http://www.cfbisd.edu/,500,2025-04-07T00:05:53.663750
BLAKE MANOR ELEM,Manor ISD,Kindergarten - Grade 6,"18010 Blake Manor Rd, Manor, TX 78653",18010 Blake Manor Rd,Manor,TX,78653,(512) 278-4200,http://bme.manorisd.net/,435,2025-04-07T00:05:53.663750
BLANCA E SANCHEZ,McAllen ISD,Prekindergarten - Grade 5,"2901 Incarnate Word, McAllen, TX 78504",2901 Incarnate Word,McAllen,TX,78504,(956) 971-1100,http://sanchez.mcallenisd.org/,487,2025-04-07T00:05:53.663750
BLANCO ELEM,Blanco ISD,Early Education - Grade 5,"814 Eleventh St, Blanco, TX 78606",814 Eleventh St,Blanco,TX,78606,(830) 833-4338,http://blancoisd.org/,454,2025-04-07T00:05:53.663750
BLANCO VISTA ELEM,Hays CISD,Prekindergarten - Grade 5,"2951 Blanco Vista Blvd, San Marcos, TX 78666",2951 Blanco Vista Blvd,San Marcos,TX,78666,(512) 268-8506,http://www.hayscisd.net/,710,2025-04-07T00:05:53.663750
BLANTON ELEM,Carrollton-Farmers Branch ISD,Prekindergarten - Grade 5,"2525 Scott Mill Rd, Carrollton, TX 75006",2525 Scott Mill Rd,Carrollton,TX,75006,(972) 968-1100,http://www.cfbisd.edu/,448,2025-04-07T00:05:53.663750
BLANTON ELEM,Austin ISD,Prekindergarten - Grade 5,"5408 Westminster Dr, Austin, TX 78723",5408 Westminster Dr,Austin,TX,78723,(512) 414-2026,http://www.austinisd.org/schools/blanton,560,2025-04-07T00:05:53.663750
BLATTMAN ELEM,Northside ISD,Early Education - Grade 5,"3300 N Loop 1604 W, San Antonio, TX 78231",3300 N Loop 1604 W,San Antonio,TX,78231,(210) 397-4600,http://nisd.net/,494,2025-04-07T00:05:53.663750
BLAZIER ELEM,Austin ISD,Kindergarten - Grade 6,"8601 Vertex Blvd, Austin, TX 78744",8601 Vertex Blvd,Austin,TX,78744,(512) 841-8800,http://www.austinisd.org/schools/blazier,"1,010",2025-04-07T00:05:53.663750
BLEDSOE ELEM,Frisco ISD,Kindergarten - Grade 5,"1900 Timber Rdg Dr, Frisco, TX 75034",1900 Timber Rdg Dr,Frisco,TX,75034,(469) 633-3600,http://www.friscoisd.org/,752,2025-04-07T00:05:53.663750
BLESSING ELEM,Tidehaven ISD,Early Education - Grade 5,"231 FM 616, Blessing, TX 77419",231 FM 616,Blessing,TX,77419,(979) 843-4330,http://www.tidehavenisd.com/,261,2025-04-07T00:05:53.663750
BLISS ELEM,El Paso ISD,Early Education - Grade 5,"4401 Sheridan Rd, El Paso, TX 79906",4401 Sheridan Rd,El Paso,TX,79906,(915) 236-5150,http://bliss.episd.org/,509,2025-04-07T00:05:53.663750
BLOOM ACADEMY CHARTER SCHOOL,Bloom Academy Charter School,Kindergarten - Grade 3,"3420 Almeda Genoa Rd, Houston, TX 77047",3420 Almeda Genoa Rd,Houston,TX,77047,(346) 333-1320,http://www.bloomacademy.org/,193,2025-04-07T00:05:53.663750
BLOOMBURG SCHOOL,Bloomburg ISD,Prekindergarten - Grade 12,"307 W Cypress St, Bloomburg, TX 75556",307 W Cypress St,Bloomburg,TX,75556,(903) 728-5216,http://www.bloomburgisd.net/,240,2025-04-07T00:05:53.663750
BLOOMING GROVE ELEM,Blooming Grove ISD,Early Education - Grade 5,"601 N FM 55, Blooming Grove, TX 76626",601 N FM 55,Blooming Grove,TX,76626,(903) 695-4401,http://www.bgisd.org/,434,2025-04-07T00:05:53.663750
BLOOMINGTON ELEM,Bloomington ISD,Prekindergarten - Grade 5,"200 N Leonard, Bloomington, TX 77951",200 N Leonard,Bloomington,TX,77951,(361) 333-8003,http://www.bisd-tx.org/,231,2025-04-07T00:05:53.663750
BLOSSOM ELEM,Prairiland ISD,Prekindergarten - Grade 5,"310 High St, Blossom, TX 75416",310 High St,Blossom,TX,75416,(903) 982-5230,http://www.prairiland.net/,427,2025-04-07T00:05:53.663750
BLUE HOLE PRI,Wimberley ISD,Prekindergarten - Grade 2,"15900 Winters Mill Pkwy, Wimberley, TX 78676",15900 Winters Mill Pkwy,Wimberley,TX,78676,(512) 847-3407,http://www.wimberleyisd.net/,627,2025-04-07T00:05:53.663750
BLUE RIDGE ELEM,Blue Ridge ISD,Prekindergarten - Grade 5,"10944 CR 504, Blue Ridge, TX 75424",10944 CR 504,Blue Ridge,TX,75424,(972) 752-5554,http://brisd.net/,453,2025-04-07T00:05:53.663750
BLUE RIDGE ELEM,Fort Bend ISD,Kindergarten - Grade 5,"6241 Mc Hard Rd, Houston, TX 77053",6241 Mc Hard Rd,Houston,TX,77053,(281) 634-4520,http://www.fortbendisd.com/bre,246,2025-04-07T00:05:53.663750
BLUEBONNET ELEM,Bastrop ISD,Prekindergarten - Grade 4,"416 FM 1209, Bastrop, TX 78602",416 FM 1209,Bastrop,TX,78602,(512) 772-7680,http://www.bisdtx.org/,742,2025-04-07T00:05:53.663750
BLUEBONNET ELEM,Hereford ISD,Kindergarten - Grade 5,"221 16th St, Hereford, TX 79045",221 16th St,Hereford,TX,79045,(806) 363-7650,http://www.herefordisd.net/,399,2025-04-07T00:05:53.663750
BLUEBONNET ELEM,Keller ISD,Kindergarten - Grade 5,"7000 Teal Dr, Fort Worth, TX 76137",7000 Teal Dr,Fort Worth,TX,76137,(817) 744-4500,http://www.kellerisd.net/,576,2025-04-07T00:05:53.663750
BLUEBONNET ELEM,Round Rock ISD,Prekindergarten - Grade 5,"1010 Chisholm Vly Dr, Round Rock, TX 78681",1010 Chisholm Vly Dr,Round Rock,TX,78681,(512) 428-7700,http://schools.roundrockisd.org/bluebonnet/,327,2025-04-07T00:05:53.663750
